latitude,longitude,stars,review_count,is_open,RestaurantsAttire,NoiseLevel,OutdoorSeating,GoodForKids,Caters,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsTakeOut,Alcohol,RestaurantsDelivery,WiFi,BikeParking,RestaurantsReservations,HasTV,WheelchairAccessible,gmf_breakfast,gfm_brunch,gfm_dessert,gfm_dinner,gfm_latenight,gfm_lunch,bp_garage,bp_lot,bp_street,bp_valet,bp_validated
43.6819924,-79.42542159999999,0,30.0,1.0,casual,quiet,False,True,nan,nan,3,True,full_bar,True,nan,nan,True,True,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6526283,-79.3754254,0,205.0,1.0,casual,average,False,True,False,True,2,True,full_bar,False,free,True,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6810110637,-79.4297991693,0,48.0,1.0,casual,very_loud,False,True,True,True,2,True,full_bar,False,free,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6622969,-79.3351969,0,95.0,1.0,casual,average,False,False,False,False,2,False,full_bar,False,no,True,False,True,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6335923,-79.4314407,0,3.0,1.0,casual,nan,nan,nan,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.6550472,-79.380256,0,6.0,0.0,dressy,nan,False,False,nan,True,3,False,full_bar,False,nan,nan,True,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.6659756,-79.4077326,0,4.0,0.0,casual,nan,False,True,True,nan,1,True,none,True,free,True,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.7120722,-79.3993352,0,6.0,0.0,casual,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,True,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.7602084712,-79.4108390142,0,43.0,1.0,casual,nan,nan,nan,True,nan,2,True,nan,nan,free,True,nan,nan,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
43.772806,-79.4134887,0,151.0,1.0,casual,nan,nan,nan,True,nan,2,True,nan,nan,nan,False,nan,nan,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6624689,-79.3670113,0,29.0,0.0,casual,quiet,False,True,nan,True,2,True,beer_and_wine,True,nan,nan,False,True,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.7784345059,-79.3443379551,0,25.0,1.0,casual,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.6564404,-79.37684,0,171.0,0.0,casual,average,True,True,False,False,1,True,none,False,no,True,False,False,nan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43.665279,-79.385945,0,58.0,0.0,casual,average,False,True,False,True,2,True,full_bar,False,no,True,True,False,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6541825096,-79.424608089,0,4.0,0.0,casual,nan,True,nan,nan,nan,nan,True,nan,nan,free,True,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.6507347,-79.3966113,0,250.0,1.0,casual,average,False,nan,False,nan,2,True,none,False,free,True,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.764466,-79.396091,0,91.0,1.0,casual,nan,False,nan,True,False,2,True,none,True,free,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.681931,-79.3302083,0,9.0,0.0,casual,nan,True,False,nan,True,2,True,full_bar,False,nan,nan,False,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.6490516,-79.3717741,0,5.0,0.0,casual,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.6698537,-79.3008106,0,15.0,1.0,casual,nan,nan,nan,nan,nan,2,True,nan,False,nan,True,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.7408667522,-79.5129613951,0,8.0,1.0,casual,nan,nan,False,nan,True,nan,True,nan,nan,nan,nan,nan,True,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
